Title,Date,Ongoing End Date,Time,End Time,Setup Time,Takedown Time,Library,Location,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Last Modified,Description,Additional Information,Internal Notes,Presenter,Contact Name,Contact Email,Contact Phone,Registration Required,PR Detail,Published Status,Attendance,Registered,Waiting List,Cancelled List,Shared Attendance,Optional Statistical Input 1,Optional Statistical Input 2,Optional Statistical Input 3,Optional Statistical Input 4
Family Time,9/5/2014,,10:30 AM,11:15 AM,10:15 AM,11:30 AM,Evelyn Gregory,Auditorium,01-Ready for Reading Storytimes,,,All Children,,,7/6/2014 11:32,"Stories, songs and rhymes for children 5 and under and their caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Baby Time,9/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Maryvale,Meeting Room,01-Ready for Reading Storytimes,,,Pre-School Children,,,26/05/2014 1:29:41 PM,"Bouncing and tickling rhymes, songs and stories for babies from birth to 18 months. Limited to 20 children and parents/caregivers. Registration starts Monday, March 24th.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,9/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,16/05/2014 2:43:30 PM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading Toddler Time,9/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Albion,,01-Ready for Reading Storytimes,,,All Children,,,28/05/2014 2:23:31 PM,"Enjoy 30 minutes of action songs, tickles, rhymes and stories for children ages 19 months to 3 years. Registration required.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Toddler Time,9/5/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Downsview,Program Room,01-Ready for Reading Storytimes,,,Pre-School Children,,,12/5/2014 17:24,"Join us with your toddler aged 19-36 months for stories, songs and rhymes. Registration is required. Parental/caregiver participation strongly encouraged. Call 416-395-5720 or email dokids@torontopubliclibrary.ca to register. *Please note the date has been changed to Fridays, April 4- May 16, 2014**",,,,Downsview branch,dokids@torontopubliclibrary.ca,416-395-5720,NO,,Yes,,0,0,0,,0,0,0,0
Senior's Board Games,9/5/2014,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Albion,,00-Hobbies Crafts & Games,,,Older Adult,,,28/05/2014 2:23:31 PM,Play some popular board games and meet new people too! Drop-in.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Move that Mouse,9/5/2014,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Adult,Older Adult,,13/05/2014 12:40:36 PM,Learn basic mouse and keyboard skills in this hands-on class. This session introduces you to skills required for all computer training at the library. Registration is required. Please call 416-396-8950.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Gamerz Challenge,9/5/2014,,4:00 PM,5:00 PM,4:00 PM,5:00 PM,Rexdale,,00-Hobbies Crafts & Games,,,All Ages,,,16/05/2014 2:43:30 PM,"Bring your game face and challenge your friends to X-Box, PS3 and Wii.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Malvern Family Movie Night!,9/5/2014,,6:00 PM,8:00 PM,6:00 PM,8:00 PM,Malvern,,00-Culture Arts & Entertainment,,,All Ages,All Children,,12/5/2014 13:14,"Join us for a free family movie on the second Friday of the month. Bring a blanket, pillow, favourite toy and if you like, wear your pajamas! Children must be accompanied by an adult as this is a family event. Feature film to be announced. For more details, please call the branch at 416-396-8969.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Heure du conte / French Storytime,9/5/2014,,6:45 PM,7:30 PM,6:45 PM,7:30 PM,Agincourt,,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,02-French,School-Age Children,,,13/05/2014 12:40:36 PM,"Pour les enfants de 5-10 ans. Venez vous amuser avec des histoires et des chansons en français. Veuillez appeler la succursale pour avoir des renseignements d'inscription sur le programme. For children aged 5 to 10 years. Enjoy stories, songs, and more in French. Call branch for registration information.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Arts for Children & Youth: Visual Art Workshop,10/5/2014,,10:00 AM,11:30 AM,9:30 AM,12:00 PM,Evelyn Gregory,,00-Culture Arts & Entertainment,,,All Children,,,7/6/2014 11:32,"In this free 8-week workshop, children are introduced to new artistic techniques, as well as encouraged to practice those they already know. Participants learn how to use new art materials, and to create art as individuals or as part of a larger team. Each arts workshop presents opportunities for the young artists to apply their creativity and explore artistic techniques. Please call 416-394-1006 or visit Evelyn Gregory in person to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Community Volunteer Income Tax Clinics,10/5/2014,,10:00 AM,3:00 PM,10:00 AM,3:00 PM,Downsview,Auditorium,z DO NOT USE-Business Legal & Personal Finance,00-ESL & Newcomer Programs,z DO NOT USE-Personal Finance,Adult,Older Adult,,29/09/2015 9:16:07 AM,"Starting Saturday March 8th, Downsview Branch will be be hosting the Community Volunteer Income Tax Program provided by the Canada Revenue Agency. Volunteers can help you prepare your income tax and benefit return if you have low income and a simple tax situation. Dates: Every Saturday from March 8 to May 10, 2014 Times: 10:00 am to 3:00 pm Free! Registration is required. If you require assistance in Bengali, Cantonese, Mandarin, Farsi, German, Hindi, Iranian, Russian, Spanish, Tagalog, Tamil, Turkish, or Vietnamese, a volunteer may be available to assist you. Please mention this upon registration. Please also note that this is dependent upon volunteer availability. Please contact the branch at 416-395-5720 to register and for more information. Register early! Appointments fill up very quickly as this is a very popular service. Please note: Volunteers are not employees or volunteers of the Canada Revenue Agency or Toronto Public Library.",,,,,,,NO,,No,,0,0,0,,0,0,0,0
Chess in the Library,10/5/2014,,10:30 AM,12:30 PM,10:30 AM,12:30 PM,Malvern,,00-Hobbies Crafts & Games,,,Teen,Adult,School-Age Children,14/05/2014 12:09:13 PM,"Interested in learning how to play chess? Want to play chess with others in the community? Join us for chess in the library! Featuring CFC & CMA rated games, casual chess, beginner lessons, chess puzzle competitions, simultaneous exhibitions by masters and much more! Ages 10+. Please call (416) 396-8969 for more information.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time,10/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Agincourt,Program Room,00-Reading Programs & Storytimes,01-Ready for Reading Storytimes,,Pre-School Children,All Children,,13/05/2014 12:40:36 PM,"Children and their caregivers enjoy stories, songs, rhymes and fingerplays.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Mother's Day Beading Workshop,10/5/2014,,10:30 AM,11:30 AM,10:30 AM,11:30 AM,Spadina Road,,00-Hobbies Crafts & Games,,,School-Age Children,Adult,,13/05/2014 6:32:53 PM,Make something special for mom at our Mother's Day beading workshop. Dads and sons welcome! Spaces are limited. Register in branch or call 416-393-7666.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Science Rendezvous @ the Library,10/5/2014,,11:00 AM,12:00 PM,11:00 AM,12:00 PM,Albion,,00-Science & Technology,01-Maker Programs,,School-Age Children,,,28/05/2014 2:23:31 PM,Maker Science - Celebrate Science Rendezvous 2014 by trying some hands-on activities. Three experiments will be available: 1) Make a lava lamp with household ingredients; 2) Make a marshmallow catapult and 3) Make your own Slime or Goo. Ages 6 to 12. Please register at the children's desk or by calling 416-394-5170.,"{""smallImageURL"":""http://tpl.razuna.com/assets/3434/61018311BA9F401187E5DF0125C86B9C/img/98E476AD38BC42D6B54EA6D077892D32/Science-Rendezvous-logo-150x185_98E476AD38BC42D6B54EA6D077892D32.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/61018311BA9F401187E5DF0125C86B9C/img/BB7678B165DD4718892660036EF4A017/Science-Rendezvous-logo-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Ready for Reading Family Time,10/5/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Albion,,00-Reading Programs & Storytimes,,,All Ages,,,28/05/2014 2:23:31 PM,"Songs, stories, and rhymes for the whole family.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Storytime,10/5/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Malvern,,00-Reading Programs & Storytimes,,,All Children,,,14/05/2014 12:09:13 PM,"Stories, songs, rhymes and crafts for children with parents or caregivers.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Family Time Storytimes,10/5/2014,,11:00 AM,11:30 AM,11:00 AM,11:30 AM,Downsview,Program Room,01-Ready for Reading Storytimes,,,All Children,,,21/05/2014 5:47:46 PM,"Join one of our Children's Librarians for fun stories, songs, and rhymes. A special monthly puppet show will happen on Feb. 22, Mar. 22, Apr. 19 and May 31. Drop-in. No registration required. Ideal for ages 2-7 years. CANCELLED ON APR. 26, MAY 10 AND MAY 24.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Science Rendezvous @ the Library,10/5/2014,,1:00 PM,3:00 PM,1:00 PM,3:00 PM,Downsview,Program Room,00-Science & Technology,,,School-Age Children,All Ages,,21/05/2014 5:47:46 PM,"Experience Science Rendezvous, the free annual festival that takes world-class science to the streets. It’s where people and science meet! Explore the wonders of science through hands-on activities with volunteers from Let’s Talk Science. For more information please call (416) 395-5720 or e-mail us at dokids@torontopubliclibrary.ca","{""smallImageURL"":""http://tpl.razuna.com/assets/3434/61018311BA9F401187E5DF0125C86B9C/img/98E476AD38BC42D6B54EA6D077892D32/Science-Rendezvous-logo-150x185_98E476AD38BC42D6B54EA6D077892D32.jpg"",""mediumImageURL"":""http://tpl.razuna.com/assets/3434/61018311BA9F401187E5DF0125C86B9C/img/BB7678B165DD4718892660036EF4A017/Science-Rendezvous-logo-150x185.jpg""}",,,,,,NO,,Yes,,0,0,0,,0,0,0,0
TD Shakespeare for Kids Library Club,10/5/2014,,2:00 PM,4:00 PM,2:00 PM,4:00 PM,Albion,Auditorium,00-Culture Arts & Entertainment,01-Shakespeare for Kids,,School-Age Children,,,28/05/2014 2:23:31 PM,"Join Shakespeare in Action (SIA) for storytelling adventures. Explore the world of magic, wizards, potions, ghosts, swords and witches in some of the greatest stories ever told. In this free, six-week program, professional actors and educators from SIA lead kids ages 7-12 through drama games and Shakespeare's plays, such as The Comedy of Errors, Henry IV, Macbeth, Midsummer Night's Dream, Romeo & Juliet, The Tempest and Twelfth Night. The program runs over six consecutive Saturdays! Registration Required. Contact staff for more detail.",,,,,,,YES,,Yes,,0,0,0,,0,0,0,0
Toddler/Preschool Time,12/5/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Yorkville,Art Gallery,01-Ready for Reading Storytimes,00-Reading Programs & Storytimes,,Pre-School Children,,,2/6/2014 15:14,"Stories, songs, and rhymes for children age 19 months to 5 years with their parents or caregivers. No session on May 19. Registration begins on Monday, April 14, 2014 at 10 a.m. in person or by phone at 416-393-7660.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Want to Know About Zinio?,12/5/2014,,2:00 PM,3:30 PM,1:45 PM,3:45 PM,Evelyn Gregory,Auditorium,00-Computer & Library Training,,,Adult,Older Adult,,7/6/2014 11:32,"Learn about Zinio, Toronto Public Library’s online magazine service. Discover how to access the latest magazine issues from anywhere using your computer or mobile device. For more information or to REGISTER please call 416-394-1006.",,,James Murchison,James Murchison,jmurchison@torontopubliclibrary.ca,416-394-1057,NO,,Yes,,0,0,0,,0,0,0,0
Web Basics,12/5/2014,,2:00 PM,3:30 PM,2:00 PM,3:30 PM,Agincourt,Learning Centre,00-Computer & Library Training,,,Adult,Older Adult,,20/05/2014 3:11:56 PM,Explore the Internet using web addresses and search engines. Basic keyboarding and mouse skills required.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Reading Circle,12/5/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Albion,,00-ESL & Newcomer Programs,,,Adult,,,28/05/2014 2:23:31 PM,Practice your English by reading with others from great books and sharing your ideas about them. Drop-in. Mondays 4:30-5:30 p.m.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Reading Circle,12/5/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Albion,,00-ESL & Newcomer Programs,00-Adult Literacy,,Adult,,,28/05/2014 2:23:31 PM,Practice your English by reading with others from great books and sharing your ideas about them. No registration required.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Newcomer Youth Conversation Group,12/5/2014,,4:30 PM,5:30 PM,4:30 PM,5:30 PM,Agincourt,Program Room,00-ESL & Newcomer Programs,,,Teen,,,20/05/2014 3:11:56 PM,"Newcomer youth ages 13-18 are invited to Agincourt library to meet new friends, learn and practice English, gain new skills, get volunteer hours and more. Registration is required. Please call Agincourt branch at 416-396-8950 or Wen (library settlement worker) at 647-388-3762.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Crafts for Kids,12/5/2014,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Albion,,00-Hobbies Crafts & Games,,,All Children,,,28/05/2014 2:23:31 PM,"Get in touch with your creative side. Make something to take home using paper, scissors, colours and your imagination! All ages welcome. Parents must be present for children 6 years and younger. There will be no craft program on Monday, April 21 and Monday, May 19th.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Canadian Citizenship Test Preparation,12/5/2014,,6:00 PM,8:00 PM,6:00 PM,8:00 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,15/05/2014 10:44:40 AM,Do you need help preparing and studying for the Canadian Citizenship Test? Complete the free citizenship test preparation program in 5 classes at Malvern Branch. To register call 416-396-8969 or visit the branch for more details.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
English Conversation Circle,12/5/2014,,6:00 PM,7:30 PM,6:00 PM,7:30 PM,Agincourt,,00-ESL & Newcomer Programs,,,Adult,Older Adult,Teen,28/05/2014 2:05:32 PM,"For newcomers looking to improve English, the English Conversation Circle provides a supportive and encouraging environment to practice your English! Registration is required. Please call Agincourt branch at 416-396-8950 or Wen (library settlement worker) at 647-388-3762.",,LSP worker: Wen Chen,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,13/05/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,23/05/2014 12:43:16 PM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Preschool Time,13/05/2014,,10:30 AM,11:00 AM,10:30 AM,11:00 AM,Rexdale,,00-Reading Programs & Storytimes,,,All Children,,,16/05/2014 2:43:30 PM,The Fluffy and Patches Rabbit Story Time.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Tea and Books,13/05/2014,,2:00 PM,3:00 PM,2:00 PM,3:00 PM,Rexdale,,00-Book Clubs & Writers Groups,,,Older Adult,,,16/05/2014 2:43:30 PM,An hour long book talk and get together,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
East Spoken Word & Poetry Collective,13/05/2014,,4:00 PM,5:30 PM,4:00 PM,5:30 PM,Agincourt,Program Room,00-Culture Arts & Entertainment,,,Teen,,,20/05/2014 3:11:56 PM,"Teens, looking for an opportunity to express yourself through poetry, meet other youth interested in poetry and spoken word and have a chance to showcase your work? Sign up for a free four week workshop to explore creativity and performance within your community. The EAST Spoken Word & Poetry Collective is presented in collaboration with Toronto Public Library, Scarborough Arts and R.I.S.E Edutainment. Ages 12-18. Register at www.eastcollective.ca or at Agincourt Branch. Tuesdays May 13, 20, 27, June 3, 4-5:30pm.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Chess Club,13/05/2014,,5:00 PM,6:00 PM,5:00 PM,6:00 PM,Downsview,,00-Hobbies Crafts & Games,,,School-Age Children,All Children,,21/05/2014 5:47:46 PM,"Interested in playing chess? Open to beginners and experienced players alike. Great for improving your concentration and logic skills while making new friends! Tips and techniques provided as required. Ages 7-12. Register in person, or call 416-395-5720, or email dokids@torontopubliclibrary.ca.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
Dulcimer Musical Performance with Pingxin Xu,13/05/2014,,6:30 PM,8:30 PM,6:30 PM,9:00 PM,Agincourt,Program Room,01-Asian Heritage Month,00-Culture Arts & Entertainment,,All Ages,,,20/05/2014 3:11:56 PM,Pingxin Xu is an internationally acclaimed master of the Yangqin (Chinese hammer dulcimer). Join us for a free breathtaking musical performance suitable for all age groups and cultural backgrounds! Call 416-396-8943 to register.,for Asian Heritage Month,,Pingxi Xu,,,,NO,,Yes,,0,0,0,,0,0,0,0
Play Reading,13/05/2014,,7:00 PM,8:30 PM,7:00 PM,8:30 PM,Yorkville,Art Gallery,00-Book Clubs & Writers Groups,00-Culture Arts & Entertainment,,Adult,Older Adult,,2/6/2014 15:14,Everyone takes a part and reads along. For information call 416-393-7660.,,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
After School Homework Club,13/05/2014,,7:00 PM,8:00 PM,7:00 PM,8:00 PM,Malvern,,00-Homework Help Leadership & After School,,,School-Age Children,,,23/05/2014 12:43:16 PM,"Tutors provide homework help and additional educational activities for students from grades 1-6. Call the branch to register, 416-396-8970 or visit www.thechamps.ca. This program is cosponsored with The Champ Initiative.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
ESL Classes,14/05/2014,,9:30 AM,12:30 PM,9:30 AM,12:30 PM,Malvern,,00-ESL & Newcomer Programs,,,Adult,Older Adult,,23/05/2014 12:43:16 PM,"Adult English classes, CLB levels 1-2, co-sponsored with Toronto Catholic District School Board. Tuesdays, Wednesdays and Thursdays from 9:30 a.m. to 12:30 p.m. Please see instructor during class hours to register.",,,,,,,NO,,Yes,,0,0,0,,0,0,0,0
